Company ,Amount ,Platform 
Vogue,20,Print
Vogue,86.3,Digital
Vogue,167,Social Media Followers 
Harpers Bazaar,2.7,Print
Harpers Bazaar,20,Digital
Harpers Bazaar,12.5,Social Media Followers
Elle,17.4,Print
Elle,77.8,Digtial
Elle,81,Social Media Followers
